ShiftX   ShiftY   Rotation
50 50 57.6935
50 50 162.026
50 50 120.925
50 50 160.821
50 50 113.611
50 50 160.842
50 50 110.637
50 50 145.299
50 50 136.404
50 50 111.545
50 50 72.3993
50 50 22.1037
50 50 169.455
50 50 179.181
50 50 174.84
50 50 17.5544
50 50 100.96
50 50 158.326
50 50 171.506
50 50 46.6239
50 50 49.6252
50 50 51.3109
50 50 143.437
50 50 174.623
50 50 61.89
50 50 113.691
50 50 15.9577
50 50 79.3795
50 50 122.519
50 50 98.2751
50 50 138.449
50 50 169.955
50 50 83.4818
50 50 4.13893
50 50 116.692
50 50 80.7405
50 50 146.989
50 50 27.667
50 50 128.124
50 50 68.49
50 50 164.221
50 50 147.856
50 50 98.7132
50 50 118.803
50 50 162.336
50 50 141.641
50 50 100.545
50 50 151.066
50 50 105.987
50 50 106.666
50 50 176.813
50 50 17.9014
50 50 69.7109
50 50 169.585
50 50 122.433
50 50 125.779
50 50 101.323
50 50 147.927
50 50 41.3011
50 50 59.3899
50 50 32.0426
50 50 113.158
50 50 18.4073
50 50 66.8064
50 50 6.22738
50 50 67.5231
50 50 115.471
50 50 51.7308
50 50 153.538
50 50 16.3679
50 50 10.0308
50 50 86.8682
50 50 144.183
50 50 136.67
50 50 111.332
50 50 101.408
50 50 68.6023
50 50 137.494
50 50 177.396
50 50 125.215
50 50 161.747
50 50 78.954
50 50 122.621
50 50 24.9539
50 50 110.432
50 50 129.925
50 50 106.913
50 50 155.013
50 50 58.2425
50 50 66.1254
50 50 67.7206
50 50 75.349
50 50 26.9299
50 50 0.039367
50 50 159.31
50 50 2.92061
50 50 160.715
50 50 27.886
50 50 23.0612
50 50 50.1503
50 50 118.135
50 50 5.9465
50 50 48.8365
50 50 178.037
50 50 36.1817
50 50 163.719
50 50 98.5601
50 50 1.18694
50 50 30.7559
50 50 69.8719
50 50 168.961
50 50 20.2213
50 50 155.656
50 50 69.5417
50 50 7.86698
50 50 13.6273
50 50 50.1028
50 50 169.858
50 50 131.426
50 50 88.6489
50 50 53.5275
50 50 1.34347
50 50 63.9896
50 50 177.411
50 50 83.956
50 50 93.4483
50 50 146.638
50 50 65.1386
50 50 122.08
50 50 91.6209
50 50 143.801
50 50 116.408
50 50 27.2906
50 50 160.836
50 50 57.9092
50 50 19.838
